prompt,completion
"Não que eu não conheça pessoas que modificaram a história de os vampiros algumas vezes , mas não acho que a idéia de transformá - los em diamantes é aconselhável .",
Isso foi como um estupro a o passado e a o Bram Stocker .,
"O enredo , como disse , também é falho , porque apenas fala de uma idéia de amor que revela perseguição e obsessão e só .",enredo
Bella não se apaixona por Edward .,
Apaixona - se por um ideal de beleza que todas as garotas querem ; o homem perfeito .,
"Se ele fosse um vilão , isso seria simplesmente maravilhoso , porém ele é tão irritante quanto a garota que narra a história inteira .",ele
Edward Cullen é um personagem doentio .,
Apaixona - se por o cheiro de o sangue de Bella e passa a persegui - la em muitos momentos .,
E ela ainda deixa .,
"Se alguém como ele me perseguisse , eu chamaria a polícia ou correria para um lugar menos monótono e com mais psicopatas .",
"Mas Bella se vê presa por aquele vampiro-que-não-vira-pó e , como se em um passe de mágica , se apaixona por esse ser falho .",ser
Os outros personagens também são mal explorados .,personagens
"Jasper , por exemplo , é o melhor de eles , e ainda sim não tem tanta participação quanto deveria ter .",
"Em Crepúsculo , ele aparenta ser uma pessoa de bom coração que modifica a tensão de as pessoas para fazê - las sentirem - se melhor .",
Já em o filme - e eu tenho de ressaltar - ele parece um drogado com alguma doença incurável .,
"SMeyer , também , não pode ser considerada uma boa escritora porque tem uma narração muito simples e monótona .",
"Não escreve tão bem quanto gostaria e , em algum momento em o livro , perde - se e mistura - se com Bella , mostrando que ela mesma é apaixonada por o personagem Edward Cullen , que criou .",
"Enfim , eu não sei como Crepúsculo e os outros livros viraram best-seller .",
"Acho que apenas continua famoso por culpa de as pessoas que ouvem falar e lêem como se para não serem excluídas e que , talvez , nunca leram livros melhores - os chamados posers .",
"Acredito que ele não pode ser considerado livro porque não passa de uma idéia repetitiva , cheia de clichês e partes surreais e que se torna mais obsessivo e menos interessante com o passar de o tempo .",livro
"Recomendável para seu pior inimigo , que vai se apaixonar por uma idéia clichê e muito açucarada que o fará passar mal .",
É tudo de bom,
"Olha gente , quem ja leu , quem ta lendo ou quem esta pensando em ler , vai ter gente que vai concordar com mim mas vai ter gente que não mas isso não importa pois eu achei muito legal pois é uma mistura de romance com o sobrenatural e fico muito joh Stephenie Meyer a grande criadora de esse magnifico romance é tudo de bom !",romance
Quem esta pensando em ler leiam pois eu tenho certeza de que vcs vão gostar !,
AH e uma coisa Crepúsculo e Harry Potter são histórias totalmente diferentes e não ah comparação entre eles !,
Cada história é uma história sem comparação !,
O Começo de uma eletrizante Saga !,
"Pra quem leu os livros antes de o filme sabe onde e como começa e como termina se comove com essa História inacreditavel cheia de suspeses e simpatiza muito com a jovem Isabella Swan aliás quem não gostaria de viver um romance assim como ela e ter a o lado um Edward Cullen de a vida sempre carinhoso , cuidadoso e Bizarro hsuahushau .",História
Crepúsculo e uma historia e tanto cada detalhe cada capitulo acredito que deve ter sido feito com muita dedicação por que assim como harry potter ficara pra sempre em a historia .,Crepúsculo
"Eu recomendo pra quem gosta de aventuras , misterio , Romance e rir .. Divirta - se Crepúsculo , Lua nova , Eclipse e o amanhecer São as maravilhasas de Stephenie Meyer .",
"Li Crepúsculo depois que assisti a o filme , porque não conseguia conceber como tanta gente gostou "" da aquilo "" .",
Mas para meu deleite o livro é infinitamente superior !,
"Gostoso de ler , com descrições de sensações e sentimentos belíssimas .",
Quando terminei fiquei com a dúvida de como tudo aquilo que eu havia lido coube apenas naquelas páginas .,
FODA,
"Depois de Harry Potter , pra mim , o segundos best-seller mais foda de o mundo .",
"de este livro ñ tenho nem palavras , é d longe um de os melhores livros q ja li .",livro
2.0,
"A primeira vista é apaixonante ( Edward , para falar a verdade ) .",
Depois a idéia começa a ficar piegas demais .,idéia
Fora que a autora está bem longe de ser uma boa escritora .,
"Em este ponto , J.K Rowling é bem melhor .",
Não apenas por saber escrever mas tb em o quesito criatividade .,
Horrível,
Acho que não foi o pior livro de a minha vida porque LUA NOVA ocupa esse posto !,
Não acredito que perdi tempo tentando encontrar algo de bom em isso .,
Em o mesmo nível de aquela ' novela ' Mutantes .,
"hahah , porque os personagens não são vampiros , cá pra nós .",
"Só fez me provar definitivamente que vender muito e fazer sucesso não é , nunca foi e nunca será sinônimo de qualidade .",
"( Claro , absolutamente nada contra quem gosta .",
É só minha opinião .,
= ] ),
Lindo um livro fantastico que conrrespondeu todas as minhas espectativas ...,livro
Péssimo,
O livro mais bobo que já li .,livro
"Personagens cansativos , previsíveis , a Bella é a menina mais chata e enjoada que já existiu em a literatura .","Personagens
Bella"
"Vampiro bonzinho pra mim não dá , não dá mesmo .","Vampiro
bonzinho"
"Resolvi ler "" Crepúsculo "" e depois de 4 dias havia terminado .",Crepúsculo
"Achei trocentas vezes mais interessante de o que o filme , com tiradas de humor muito boas , uma redação sagaz que não te deixa desgrudar os olhos um segundo sequer , e um Edward bem menos panacão de o que em o filme . .","tiradas
de
humor
redação"
""" Crepúsculo "" ( e acredito que os outros de a série também sejam ) é SIM um ótimo livro .",livro
"Eu suuuper recomendo , viu ?",
"Estou prontíssima pra ler "" Lua Nova "" .",
Quem me empresta ?,
= ),
Só consegui pensar em uma única coisa durante toda a leitura de o livro : o quanto o Estado descrito em a obra se assemelha a a religião em os dias atuais .,
Excelente !,
Ainda não acabei de ler .,
Estou em os primeiros capítulos .,
Mas cada página de o livro é um convite a a imaginação e a a reflexão .,"cada
página"
"Incrivelmente atual o livro foi escrito em 1949 ( salvo engano ) remetendo a o que a a época seria o futuro ( 1984 ) , mas um futuro sufocado e alienado em que cada passo de os indivíduos é vigiado , seus pensamentos rigorosamente monitorados por um "" Estado "" altamente burocrático e totalitarista .",livro
A forma como a personagem principal descreve em primeira pessoa o mundo em que vive e a sua percepção sobre ele é fantástica .,"A
forma
como
a
personagem
principal
descreve
em
primeira
pessoa
o
mundo
em
que
vive"
"Parece se basear em uma descrição caricaturizada de o "" socialismo real "" , embora não se tranga importantes reflexões sobre diversas questões enfrentadas em esta era atual em que o argumento de a segurança produz contantes incursões sobre o território resarvado a a liberdade e a a privacidade de os indivíduos .",
"Enfim , qualquer análise seria reducionista , mas a leitura é altamente recomendável !",
1984,
Ou seria 1985 ?,
Difícil ter certeza .,
"Em uma época em que todas as informações são alteradas e manipuladas , não existem certezas além de uma : o Grande Irmão¹ .",
"Em um futuro aparentemente distante ( levando em consideração que o livro só foi publicado em 1949 ) , já não se sabe muito o que restou de Londres , que passou a fazer parte de um império chamado Oceania .",
"O socing¹ é o regime em que se encontra Oceania , implementado e mantido por o Partido .",
Quase tudo o que uma pessoa precisa para sobreviver é fornecido por o governo .,
"Existem três classes em Oceania : os membros internos de o Partido e o próprio Grande Irmão , que formam a elite ; os membros externos de o Partido , que seriam equivalentes a a classe média e a principal mão-de-obra de o partido , pois são eles que trabalham em os Ministérios e fazem parte de o processo de "" transformação de a verdade "" ( alteração de notícias , informações , datas , obras de ficção , música e distribuição de "" cultura "" ) , além serem mais diretamente afetados por a alienação ; e , por fim , os proletas , que seriam a classe baixa , menosprezados e até ignorados por os membros de o partido .",
Oceania vivia sob observação .,
"Todos os lugares , cantos , praças públicas e casas possuíam uma teletela e/ou microfones por os quais o Partido podia saber tudo o que acontecia e tudo o que era dito .",
Qualquer coisa que parecesse suspeita era considerada perigosa : até pensar .,
"Ainda sim , movido por um desejo de liberdade e um sentimento de contradição , Winston decide começar um diário .",
"Por alguma razão , o livro de páginas em branco disponível em uma lojinha de antiguidades em um bairro de proletas chamou sua atenção .",
"Talvez por o mistério que carregava , ou talvez por a idade : qualquer coisa que pertencesse a um período anterior a os domínio de o Partido parecia interessante .",
"Apesar de não saber bem como proceder , Winston registrava alguns pensamentos sobre o regime e informações que ele recebia em o setor em que trabalhava .",
Winston era um de os vários responsáveis por modificar notícias publicadas em os veículos de informação de forma a favorecer o Partido .,
Essa era uma de as principais táticas adotadas para sustentar o poder : modificar o passado para dominar o presente .,
"Sempre que alguma notícia pudesse insinuar que alguma de as previsões de o Grande Irmão estivesse errada , logo faziam parecer que fora exatamente aquilo que era esperado .",
"Se o alimento fosse cortado , faziam parecer que , a o invés de diminuir , ele aumentava .",
"Se Oceania estivesse em guerra com a Eurásia , e logo passasse a estar em guerra com a Lestásia , então , faziam parecer que sempre estiveram em guerra com a Lestásia ( Oceania , Eurária e Lestásia eram os três impérios que dominavam o mundo em a época ) .",
"Se alguma pessoa fosse aliada de o partido , mas logo depois se rebelasse , então , nunca fora aliada , mas sempre inimiga .",
"Assim , tudo o que o Grande Irmão dissesse ou fizesse , era verdade absoluta .",
George Orwell foi capaz de colocar em sua obra toda a estrutura de o regime e a forma como trabalhavam em prol de o chamado socing .,
"A ideologia de o Partido estava acima de qualquer outra instituição , principalmente a família .",
O sexo e o casamento eram vistos apenas como forma de procriação e gerar um filho ou filha era o principal objetivo de a união entre um homem e uma mulher .,
"As crianças desde cedo participavam de grupos em que eram treinados para denunciar qualquer atividade ou pessoa suspeita , mesmo que fossem seus próprios pais .",
"Ninguém era confiável e todos os laços humanos , seja a amizade ou família , os instintos primitivos , as ambições , os sonhos , os desejos ... Tudo foi deixado de lado e as atenções eram voltadas a o Grande Irmão , principal figura de referência .",
